"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#Kochadaiiyaan completely removed from chennai Devi and Devi paradise from this week",FALSE,0,NA,2014-05-28 18:43:39,FALSE,NA,"471723493273260033",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","riazahamedmm",0,FALSE,FALSE,NA,NA
"2","@WeAreChennai @superstarrajini 
Power of superstar name",FALSE,0,"WeAreChennai",2014-05-28 18:53:33,FALSE,"471719222066696192","471725985889411072","1478178996","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","manodptec84",0,FALSE,FALSE,NA,NA
"3","RT @superstarrajini: My best wishes to the cast and technical crew, producers, distributors and exhibitors of #Kochadaiiyaan",FALSE,0,NA,2014-05-28 18:40:04,FALSE,NA,"471722590214828033",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","tuffhardy14",1977,TRUE,FALSE,NA,NA
"4","RT @WeAreChennai: We kept calm through out the innings and @superstarrajini saved us.  #SuperCmntry #WhistlePodu #CSKvsMI http://t.co/RWFMJ…",FALSE,0,NA,2014-05-28 18:52:40,FALSE,NA,"471725762219765760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","princigupta3",81,TRUE,FALSE,NA,NA
"5","Mumbai fans banner about #Rajinikanth vs #Sachin . . . . . . 
#CSKvsMI #CSK #MSD #Whistlepodu #CSKdaa #Kochadaiiyaan http://t.co/1OpHZgbnSi",FALSE,0,NA,2014-05-28 18:38:51,FALSE,NA,"471722284697137152",NA,"web","witHugsmohan",0,FALSE,FALSE,NA,NA
"6","RT @WeAreChennai: We kept calm through out the innings and @superstarrajini saved us.  #SuperCmntry #WhistlePodu #CSKvsMI http://t.co/RWFMJ…",FALSE,0,NA,2014-05-28 18:52:10,FALSE,NA,"471725636621312000",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","gbenhur",81,TRUE,FALSE,NA,NA
"7","@soundaryaarajni  #kochadaiiyaan climax dialogue r awesom @superstarrajini actng &amp; ur motioncapturing perfectly matches.v cant find any lags",FALSE,0,"soundaryaarajni",2014-05-28 18:37:10,FALSE,NA,"471721859772215296","400636503","<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","ashwinr1210",0,FALSE,FALSE,NA,NA
"8","@WeAreChennai @ChennaiIPL @superstarrajini pavam.. Sachin can't save Mumbai indian ������������",FALSE,0,"WeAreChennai",2014-05-28 18:51:57,FALSE,"471719222066696192","471725581185212416","1478178996","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","k_ramya287",0,FALSE,FALSE,NA,NA
"9","RT @RajiniFC: #Kochadaiiyaan - Super Hit !!! :-) http://t.co/yqYYwmFqxH",FALSE,0,NA,2014-05-28 18:31:01,FALSE,NA,"471720313453940736",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","Rajinikanth_SRG",11,TRUE,FALSE,NA,NA
"10","RT @WeAreChennai: We kept calm through out the innings and @superstarrajini saved us.  #SuperCmntry #WhistlePodu #CSKvsMI http://t.co/RWFMJ…",FALSE,0,NA,2014-05-28 18:51:21,FALSE,NA,"471725428617404416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ashh_Dude",81,TRUE,FALSE,NA,NA
"11","RT @ravitejam029: @soundaryaarajni proud day for u as we kno #Kochadaiiyaan is a big success. Congratulations on ur success as a debutant:-…",FALSE,0,NA,2014-05-28 18:28:52,FALSE,NA,"471719770203516928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bharathbunty",6,TRUE,FALSE,NA,NA
"12","RT @rameshlaus: #Sani started for #MI when they unnecessarily tried to make fun of @superstarrajini http://t.co/O6as1D5NFe",FALSE,0,NA,2014-05-28 18:51:03,FALSE,NA,"471725356471160833",NA,"web","km_Vinothkumar",49,TRUE,FALSE,NA,NA
"13","RT @RohitvNiranjan: AEGON Religare's #Kochadaiiyaan game crosses 9 lakh downloads Worldwide: http://t.co/gynusbHqb3",FALSE,0,NA,2014-05-28 18:25:30,FALSE,NA,"471718923017023488",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","ALANKGF",1,TRUE,FALSE,NA,NA
"14","RT @WeAreChennai: We kept calm through out the innings and @superstarrajini saved us.  #SuperCmntry #WhistlePodu #CSKvsMI http://t.co/RWFMJ…",FALSE,0,NA,2014-05-28 18:50:57,FALSE,NA,"471725330390974464",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ManobalaV",81,TRUE,FALSE,NA,NA
"15","AEGON Religare's #Kochadaiiyaan game crosses 9 lakhs downloads Worldwide....",FALSE,0,NA,2014-05-28 18:17:46,FALSE,NA,"471716980567707648",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","WorldOfCinemas",0,FALSE,FALSE,NA,NA
"16","RT @WeAreChennai: We kept calm through out the innings and @superstarrajini saved us.  #SuperCmntry #WhistlePodu #CSKvsMI http://t.co/RWFMJ…",FALSE,0,NA,2014-05-28 18:50:56,FALSE,NA,"471725323994677248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dinesharjunan",81,TRUE,FALSE,NA,NA
"17","@soundaryaarajni Deff a great entertainer :) thank you! #Kochadaiiyaan",FALSE,0,"soundaryaarajni",2014-05-28 18:17:11,FALSE,NA,"471716833632858112","400636503","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JFRoy6",0,FALSE,FALSE,NA,NA
"18","RT @Parth_Krish: We kept calm through out the innings and @superstarrajini saved us.  #SuperCmntry #WhistlePodu #CSKvsMI http://t.co/l5rPmb…",FALSE,0,NA,2014-05-28 18:50:43,FALSE,NA,"471725272522182656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CallMeEvol",1,TRUE,FALSE,NA,NA
"19","AEGON Religare's #Kochadaiiyaan game crosses 9 lakh downloads Worldwide: http://t.co/gynusbHqb3",FALSE,0,NA,2014-05-28 18:14:12,FALSE,NA,"471716081648680960",NA,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","RohitvNiranjan",1,FALSE,FALSE,NA,NA
"20","RT @WeAreChennai: We kept calm through out the innings and @superstarrajini saved us.  #SuperCmntry #WhistlePodu #CSKvsMI http://t.co/RWFMJ…",FALSE,0,NA,2014-05-28 18:50:42,FALSE,NA,"471725267887456256",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","Nav4Prince",81,TRUE,FALSE,NA,NA
"21","RT @RajiniFC: #Kochadaiiyaan - Super Hit !!! :-) http://t.co/yqYYwmFqxH",FALSE,0,NA,2014-05-28 18:11:36,FALSE,NA,"471715425059733504",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","superstarRfan",11,TRUE,FALSE,NA,NA
"22","@WeAreChennai @ChennaiIPL @superstarrajini  avan yaarunu kandupidichi thookungada avana...  :@",FALSE,0,"WeAreChennai",2014-05-28 18:49:24,FALSE,"471719222066696192","471724940257796096","1478178996","web","m_magesh",0,FALSE,FALSE,NA,NA
"23","On my way to watch #SuperStarRajini #Kochadaiiyaan #3D...with daddy..������ at #Cineworld #Feltham http://t.co/Hx4ZUhUhjv",FALSE,0,NA,2014-05-28 18:03:27,FALSE,NA,"471713376394297345",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","KeysightDE",0,FALSE,FALSE,NA,NA
"24","RT @WeAreChennai: We kept calm through out the innings and @superstarrajini saved us.  #SuperCmntry #WhistlePodu #CSKvsMI http://t.co/RWFMJ…",FALSE,0,NA,2014-05-28 18:49:03,FALSE,NA,"471724850898554880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hivenkat_7",81,TRUE,FALSE,NA,NA
"25","RT @RajiniFC: #Kochadaiiyaan - Super Hit !!! :-) http://t.co/yqYYwmFqxH",FALSE,0,NA,2014-05-28 17:57:19,FALSE,NA,"471711830834831360",NA,"<a href=""http://www.twitefon.com"" rel=""nofollow"">Twitefon</a>","RealSanjayK",11,TRUE,FALSE,NA,NA
"26","டேய் எங்கூர்ல தான் நாங்க மாணிக்கம். உங்க ஊர்ல பாட்ஷா டா #MI #CSK @superstarrajini",FALSE,0,NA,2014-05-28 18:48:54,FALSE,NA,"471724811995975680",NA,"web","kousik23",0,FALSE,FALSE,NA,NA
"27","How many times you watched #kochadaiiyaan ? @arrahman @Haricharan_Sesh @deepikapadukone @oli968FM 
Retweet here and let's find out.",FALSE,0,NA,2014-05-28 17:53:43,FALSE,NA,"471710926220296192",NA,"<a href=""http://backtoblaq.com"" rel=""nofollow"">Blaq for BlackBerry® 10</a>","mikepraba",0,FALSE,FALSE,NA,NA
"28","RT @WeAreChennai: We kept calm through out the innings and @superstarrajini saved us.  #SuperCmntry #WhistlePodu #CSKvsMI http://t.co/RWFMJ…",FALSE,0,NA,2014-05-28 18:48:44,FALSE,NA,"471724771692904449",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ashishsiwaniwal",81,TRUE,FALSE,NA,NA
"29","On my way to watch #SuperStarRajini #Kochadaiiyaan #3D...with daddy..������ at #Cineworld #Feltham http://t.co/Bt90IxQqxU",FALSE,0,NA,2014-05-28 17:50:57,FALSE,NA,"471710228086816768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mav_Arun_25",0,FALSE,FALSE,"-0.4409104","51.5212342"
"30","RT @WeAreChennai: We kept calm through out the innings and @superstarrajini saved us.  #SuperCmntry #WhistlePodu #CSKvsMI http://t.co/RWFMJ…",FALSE,0,NA,2014-05-28 18:48:13,FALSE,NA,"471724639685591040",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Hasinkat",81,TRUE,FALSE,NA,NA
"31","RT @lmkmoviemaniac: #Kochadaiiyaan is super strong in all of Sathyam theater's Chennai properties and will continue with most screens here …",FALSE,0,NA,2014-05-28 17:47:45,FALSE,NA,"471709426617831425",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","vijayd2706",7,TRUE,FALSE,NA,NA
"32","Now you know the power of rajini @superstarrajini !!! Mind it http://t.co/JMdXSSHo5S",FALSE,0,NA,2014-05-28 18:48:06,FALSE,NA,"471724612393660416",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","vishnuvalsalan3",0,FALSE,FALSE,NA,NA
"33","RT @saanvi_june: the same style
the same voice
more younger,more stylish,more handsome..the one nd only @superstarrajini :* 
#Kochadaiiyaan…",FALSE,0,NA,2014-05-28 17:38:41,FALSE,NA,"471707142634745856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kollywoodking7",7,TRUE,FALSE,NA,NA
