"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@WeAreChennai @superstarrajini 
Power of superstar name",FALSE,0,"WeAreChennai",2014-05-28 18:53:33,FALSE,"471719222066696192","471725985889411072","1478178996","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","manodptec84",0,FALSE,FALSE,NA,NA
"2","RT @WeAreChennai: We kept calm through out the innings and @superstarrajini saved us.  #SuperCmntry #WhistlePodu #CSKvsMI http://t.co/RWFMJ…",FALSE,0,NA,2014-05-28 18:52:40,FALSE,NA,"471725762219765760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","princigupta3",81,TRUE,FALSE,NA,NA
"3","RT @WeAreChennai: We kept calm through out the innings and @superstarrajini saved us.  #SuperCmntry #WhistlePodu #CSKvsMI http://t.co/RWFMJ…",FALSE,0,NA,2014-05-28 18:52:10,FALSE,NA,"471725636621312000",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","gbenhur",81,TRUE,FALSE,NA,NA
"4","@WeAreChennai @ChennaiIPL @superstarrajini pavam.. Sachin can't save Mumbai indian ������������",FALSE,0,"WeAreChennai",2014-05-28 18:51:57,FALSE,"471719222066696192","471725581185212416","1478178996","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","k_ramya287",0,FALSE,FALSE,NA,NA
"5","RT @WeAreChennai: We kept calm through out the innings and @superstarrajini saved us.  #SuperCmntry #WhistlePodu #CSKvsMI http://t.co/RWFMJ…",FALSE,0,NA,2014-05-28 18:51:21,FALSE,NA,"471725428617404416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ashh_Dude",81,TRUE,FALSE,NA,NA
"6","RT @rameshlaus: #Sani started for #MI when they unnecessarily tried to make fun of @superstarrajini http://t.co/O6as1D5NFe",FALSE,0,NA,2014-05-28 18:51:03,FALSE,NA,"471725356471160833",NA,"web","km_Vinothkumar",49,TRUE,FALSE,NA,NA
"7","RT @WeAreChennai: We kept calm through out the innings and @superstarrajini saved us.  #SuperCmntry #WhistlePodu #CSKvsMI http://t.co/RWFMJ…",FALSE,0,NA,2014-05-28 18:50:57,FALSE,NA,"471725330390974464",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ManobalaV",81,TRUE,FALSE,NA,NA
"8","RT @WeAreChennai: We kept calm through out the innings and @superstarrajini saved us.  #SuperCmntry #WhistlePodu #CSKvsMI http://t.co/RWFMJ…",FALSE,0,NA,2014-05-28 18:50:56,FALSE,NA,"471725323994677248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dinesharjunan",81,TRUE,FALSE,NA,NA
"9","RT @Parth_Krish: We kept calm through out the innings and @superstarrajini saved us.  #SuperCmntry #WhistlePodu #CSKvsMI http://t.co/l5rPmb…",FALSE,0,NA,2014-05-28 18:50:43,FALSE,NA,"471725272522182656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CallMeEvol",1,TRUE,FALSE,NA,NA
"10","RT @WeAreChennai: We kept calm through out the innings and @superstarrajini saved us.  #SuperCmntry #WhistlePodu #CSKvsMI http://t.co/RWFMJ…",FALSE,0,NA,2014-05-28 18:50:42,FALSE,NA,"471725267887456256",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","Nav4Prince",81,TRUE,FALSE,NA,NA
"11","@WeAreChennai @ChennaiIPL @superstarrajini  avan yaarunu kandupidichi thookungada avana...  :@",FALSE,0,"WeAreChennai",2014-05-28 18:49:24,FALSE,"471719222066696192","471724940257796096","1478178996","web","m_magesh",0,FALSE,FALSE,NA,NA
"12","RT @WeAreChennai: We kept calm through out the innings and @superstarrajini saved us.  #SuperCmntry #WhistlePodu #CSKvsMI http://t.co/RWFMJ…",FALSE,0,NA,2014-05-28 18:49:03,FALSE,NA,"471724850898554880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hivenkat_7",81,TRUE,FALSE,NA,NA
"13","டேய் எங்கூர்ல தான் நாங்க மாணிக்கம். உங்க ஊர்ல பாட்ஷா டா #MI #CSK @superstarrajini",FALSE,0,NA,2014-05-28 18:48:54,FALSE,NA,"471724811995975680",NA,"web","kousik23",0,FALSE,FALSE,NA,NA
"14","RT @WeAreChennai: We kept calm through out the innings and @superstarrajini saved us.  #SuperCmntry #WhistlePodu #CSKvsMI http://t.co/RWFMJ…",FALSE,0,NA,2014-05-28 18:48:44,FALSE,NA,"471724771692904449",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ashishsiwaniwal",81,TRUE,FALSE,NA,NA
"15","RT @WeAreChennai: We kept calm through out the innings and @superstarrajini saved us.  #SuperCmntry #WhistlePodu #CSKvsMI http://t.co/RWFMJ…",FALSE,0,NA,2014-05-28 18:48:13,FALSE,NA,"471724639685591040",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Hasinkat",81,TRUE,FALSE,NA,NA
"16","Now you know the power of rajini @superstarrajini !!! Mind it http://t.co/JMdXSSHo5S",FALSE,0,NA,2014-05-28 18:48:06,FALSE,NA,"471724612393660416",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","vishnuvalsalan3",0,FALSE,FALSE,NA,NA
"17","RT @WeAreChennai: We kept calm through out the innings and @superstarrajini saved us.  #SuperCmntry #WhistlePodu #CSKvsMI http://t.co/RWFMJ…",FALSE,0,NA,2014-05-28 18:47:57,FALSE,NA,"471724576070565888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jayp008",81,TRUE,FALSE,NA,NA
"18","RT @WeAreChennai: We kept calm through out the innings and @superstarrajini saved us.  #SuperCmntry #WhistlePodu #CSKvsMI http://t.co/RWFMJ…",FALSE,0,NA,2014-05-28 18:47:12,FALSE,NA,"471724384189964288",NA,"web","Juggernaut_ab",81,TRUE,FALSE,NA,NA
