"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@soundaryaarajni  we want sequel................return of sena........................",FALSE,0,"soundaryaarajni",2014-05-28 18:57:17,FALSE,NA,"471726925497368577","400636503","web","shabhin93",0,FALSE,FALSE,NA,NA
"2","RT @superstarrajini: My best wishes to my daughter @soundaryaarajni and the entire #Kochadaiiyaan team. I am sure you all will enjoy the mo…",FALSE,0,NA,2014-05-28 18:56:16,FALSE,NA,"471726667514146816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BossNivas",2367,TRUE,FALSE,NA,NA
"3","@soundaryaarajni  #kochadaiiyaan climax dialogue r awesom @superstarrajini actng &amp; ur motioncapturing perfectly matches.v cant find any lags",FALSE,0,"soundaryaarajni",2014-05-28 18:37:10,FALSE,NA,"471721859772215296","400636503","<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","ashwinr1210",0,FALSE,FALSE,NA,NA
"4","@superstarrajini @soundaryaarajni one word about kochadaiyan....... MAJESTIC ........",FALSE,0,"superstarrajini",2014-05-28 18:29:46,FALSE,NA,"471719998151331840","1176135546","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pravinkumar352",0,FALSE,FALSE,NA,NA
"5","RT @surekhass1: @soundaryaarajni First 3D movie with #செந்தமிழ் வசனம்""Very impressive'Rahman sir #RR Speechless,an astounding achievement i…",FALSE,0,NA,2014-05-28 18:28:55,FALSE,NA,"471719784673865728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bharathbunty",2,TRUE,FALSE,NA,NA
"6","RT @ravitejam029: @soundaryaarajni proud day for u as we kno #Kochadaiiyaan is a big success. Congratulations on ur success as a debutant:-…",FALSE,0,NA,2014-05-28 18:28:52,FALSE,NA,"471719770203516928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bharathbunty",6,TRUE,FALSE,NA,NA
"7","@superstarrajini @soundaryaarajni  thx 4 giving us a nice movie",FALSE,1,"superstarrajini",2014-05-28 18:24:52,FALSE,"469666560131346432","471718763901882368","1176135546","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jaideepvijay7",0,FALSE,FALSE,NA,NA
"8","RT @iam_str: #kochadaiyaan was rocking... loved the film :) #thalaivar #immortalised thanks to @soundaryaarajni ... proud and happy for u :)",FALSE,0,NA,2014-05-28 18:18:57,FALSE,NA,"471717278367494145",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prachu26",163,TRUE,FALSE,NA,NA
"9","@soundaryaarajni Deff a great entertainer :) thank you! #Kochadaiiyaan",FALSE,0,"soundaryaarajni",2014-05-28 18:17:11,FALSE,NA,"471716833632858112","400636503","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JFRoy6",0,FALSE,FALSE,NA,NA
"10","@soundaryaarajni saw your latest snap! little fat. i  think due to all fans wishes u got littl fat! heee heee hee am right!!!? :) :)",FALSE,0,"soundaryaarajni",2014-05-28 18:13:04,FALSE,NA,"471715794200440832","400636503","web","handsome_praba",0,FALSE,FALSE,NA,NA
"11","http://t.co/ggEbA2clAc
@KollywudCinema பார்த்தாயா எங்கள் நாட்டின் ரத கஜ துரத பதாதிகளை @Kochadaiiyaan @soundaryaarajni",FALSE,1,NA,2014-05-28 18:13:01,FALSE,NA,"471715785480495104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pravanchan",0,FALSE,FALSE,NA,NA
"12","@soundaryaarajni brilliant movie! Thalaivar Mass superbly maintained.. And a brilliant cameo as well ������ http://t.co/CWAL6m5wNA",FALSE,0,"soundaryaarajni",2014-05-28 18:12:38,FALSE,NA,"471715688814350337","400636503","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jasonjebaraj41",0,FALSE,FALSE,NA,NA
